task,subject_id,session,condition,accuracy,mean_rt
NF,7222,1,inc,100.0,766.2916666666666
NF,7704,,con,97.5,750.8125
NF,7704,,inc,95.0,790.4
NF,7182,1,con,88.75,716.0125
NF,7182,1,inc,90.0,724.875
NF,7189,1,con,90.0,432.1
NF,7189,1,inc,81.25,503.3625
NF,7173,1,con,98.61111111111111,673.3333333333334
NF,7173,1,inc,94.44444444444444,692.6388888888889
NF,7187,1,con,93.05555555555556,515.3472222222222
NF,7187,1,inc,98.61111111111111,559.9305555555555
NF,7196,1,con,97.22222222222221,832.3472222222222
NF,7196,1,inc,97.22222222222221,787.7361111111111
NF,7200,1,con,100.0,779.5416666666666
NF,7200,1,inc,100.0,748.3472222222222
NF,7211,1,con,90.27777777777779,542.9305555555555
NF,7211,1,inc,93.05555555555556,610.5138888888889
NF,7209,1,con,97.22222222222221,667.3472222222222
NF,7209,1,inc,100.0,708.8055555555555
NF,7204,1,con,97.5,477.325
NF,7204,1,inc,91.25,488.375
NF,7218,1,con,72.22222222222221,870.3194444444445
NF,7218,1,inc,76.38888888888889,828.3333333333334
NF,7221,1,con,98.61111111111111,599.9861111111111
NF,7221,1,inc,97.22222222222221,688.0972222222222
NF,7202,1,con,97.22222222222221,555.1666666666666
NF,7202,1,inc,98.61111111111111,564.2638888888889
NF,7226,1,con,85.0,375.5125
NF,7226,1,inc,73.75,383.5125
NF,7227,1,con,95.83333333333334,584.8055555555555
NF,7227,1,inc,100.0,563.4722222222222
NF,7205,1,con,91.66666666666666,740.0277777777778
NF,7205,1,inc,97.22222222222221,732.1666666666666
NF,7230,1,con,93.05555555555556,518.875
NF,7230,1,inc,95.83333333333334,572.7638888888889
NF,7235,1,con,100.0,499.31944444444446
NF,7235,1,inc,97.22222222222221,594.9861111111111
NTS,0,33,A,100.0,803.9444444444445
NTS,0,33,B,91.66666666666666,921.4166666666666
NTS,0,33,C,25.925925925925924,1121.712962962963
NTS,8039,2,A,100.0,563.5833333333334
NTS,8039,2,B,100.0,581.5277777777778
NTS,8039,2,C,92.5925925925926,729.0648148148148
NTS,8060,1,A,97.22222222222221,711.1111111111111
NTS,8060,1,B,97.22222222222221,767.75
NTS,8060,1,C,85.0,1047.475
NTS,8047,2,A,100.0,582.5277777777778
NTS,8047,2,B,97.22222222222221,602.6944444444445
NTS,8047,2,C,80.55555555555556,1037.25
NTS,8011,3,A,100.0,569.3888888888889
NTS,8011,3,B,100.0,711.6944444444445
NTS,8011,3,C,89.81481481481481,889.0185185185185
NTS,8038,2,A,94.44444444444444,585.3333333333334
NTS,8038,2,B,100.0,584.25
NTS,8038,2,C,93.51851851851852,793.4537037037037
NTS,8046,2,A,100.0,676.3888888888889
NTS,8046,2,B,91.66666666666666,697.9166666666666
NTS,8046,2,C,92.5925925925926,986.3888888888889
